Protein_ID,Type,Tm,pLDDT,Status
P50457,meso,48.354759,97.82,High quality
P52007,meso,55.27865143,94.54,High quality
P52061,meso,47.87917323,94.9,High quality
P52095,thermo,69.43470032,94.26,High quality
P52643,thermo,64.07916148,96.23,High quality
P52697,meso,56.09281315,98.29,High quality
P56262,meso,55.06163215,95.74,High quality
P60422,thermo,67.32857712,95.07,High quality
P60546,meso,45.95219698,91.66,High quality
P60560,meso,47.43766103,95.91,High quality
P60595,meso,42.38676079,97.32,High quality
P60624,thermo,69.86034016,94.09,High quality
P60664,meso,50.64577512,93.58,High quality
P60723,thermo,66.10213781,94.35,High quality
P60757,meso,46.84142754,94.31,High quality
P60906,meso,45.25992248,94.46,High quality
P61175,meso,46.74648524,95.89,High quality
P61316,meso,52.93447365,90.12,High quality
P61517,meso,55.32796056,94.6,High quality
P61889,meso,54.98773398,96.97,High quality
P61949,meso,46.98600028,97.0,High quality
P62399,thermo,67.06980103,89.04,High quality
P62620,meso,44.20362159,93.22,High quality
P62707,meso,49.03411989,95.89,High quality
P63284,meso,47.30156722,88.39,High quality
P64503,meso,52.33485322,94.52,High quality
P64506,thermo,65.76591172,90.68,High quality
P64596,meso,46.10688637,90.02,High quality
P65367,meso,54.46966927,92.69,High quality
P65556,meso,42.05662982,92.94,High quality
P68206,meso,52.84421447,88.32,High quality
P68679,meso,49.7121538,87.68,High quality
P68919,thermo,66.86405507,96.51,High quality
P69222,meso,57.96328576,86.72,High quality
P69441,meso,42.55206883,95.83,High quality
P69503,meso,55.45127001,96.32,High quality
P69776,meso,47.55791801,84.51,High quality
P69783,thermo,68.82257703,92.77,High quality
P69786,meso,44.19942529,90.35,High quality
P69797,thermo,60.1663484,86.89,High quality
P69828,meso,42.4811928,94.83,High quality
P69829,thermo,67.17109084,90.94,High quality
P69908,thermo,65.86349541,95.97,High quality
P69910,thermo,62.89035924,96.22,High quality
P69913,thermo,65.71420822,89.68,High quality
P69924,meso,51.60690275,93.21,High quality
P75691,thermo,62.13159142,97.45,High quality
P75745,meso,52.40143449,96.67,High quality
P75797,thermo,65.36728246,93.4,High quality
P75809,meso,41.24570867,95.79,High quality
P75823,thermo,68.91248096,98.65,High quality
P75838,meso,43.95034061,96.09,High quality
P75863,meso,45.77428357,94.74,High quality
P75874,meso,55.07825072,96.96,High quality
P75913,meso,55.21156937,98.48,High quality
P75915,meso,46.54020022,95.84,High quality
P75959,thermo,61.97249548,97.53,High quality
P76004,meso,59.29652668,97.22,High quality
P76014,meso,50.23283941,97.82,High quality
P76015,meso,55.15260135,97.65,High quality
P76097,meso,47.32036128,91.31,High quality
P76100,meso,51.88382515,96.41,High quality
P76108,thermo,63.92941078,95.01,High quality
P76113,meso,56.59573164,96.47,High quality
P76116,meso,56.05110668,92.64,High quality
P76142,meso,57.98858274,94.67,High quality
P76145,meso,51.2330772,94.55,High quality
P76177,meso,46.4451054,80.43,High quality
P76187,meso,59.07163422,98.27,High quality
P76193,meso,44.1141657,87.6,High quality
P76268,meso,54.21816304,91.66,High quality
P76270,meso,49.50681408,94.32,High quality
P76290,thermo,68.81211642,93.84,High quality
P76329,meso,43.93405767,95.08,High quality
P76402,meso,54.37095071,91.6,High quality
P76541,meso,46.94013563,96.97,High quality
P76558,meso,47.17562609,91.07,High quality
P76569,meso,47.95663244,95.41,High quality
P77173,meso,58.20648127,74.9,High quality
P77214,meso,56.27955535,83.46,High quality
P77247,thermo,64.99830926,96.45,High quality
P77348,meso,49.19156835,93.99,High quality
P77374,meso,44.14392726,93.59,High quality
P77395,meso,53.55709943,94.26,High quality
P77488,meso,49.73070819,91.45,High quality
P77499,meso,44.8455207,94.08,High quality
P77544,meso,41.55557542,96.52,High quality
P77554,meso,54.72758752,90.88,High quality
P77581,meso,52.65155658,97.65,High quality
P77674,meso,44.29442966,98.69,High quality
P77690,meso,49.23539805,95.13,High quality
P77718,meso,45.97575056,91.86,High quality
P77739,meso,40.40020018,95.62,High quality
P77754,thermo,65.10763982,76.85,High quality
P77806,thermo,60.54647153,96.17,High quality
P77808,meso,46.37536867,95.82,High quality
P78067,meso,43.47855719,94.72,High quality
Q2M7R5,meso,45.88175505,83.09,High quality
Q46829,meso,53.80227182,96.08,High quality
Q46845,meso,42.4286969,96.44,High quality
Q46851,thermo,69.78891765,94.7,High quality
Q46856,meso,57.94076422,97.88,High quality
Q46857,meso,49.89076279,98.12,High quality
Q46868,thermo,63.56860725,80.6,High quality
Q46920,meso,43.90531909,94.27,High quality
Q57261,meso,43.82467459,94.32,High quality
Q59385,meso,55.81601774,83.04,High quality
O50606,thermo,61.00781308,96.49,High quality
P05378,thermo,85.8362104,94.8,High quality
P05379,thermo,72.85129601,93.97,High quality
P09403,thermo,87.46451245,96.38,High quality
P0CG48,thermo,82.99101272,88.54,High quality
P17291,thermo,89.31735779,94.41,High quality
P19436,thermo,80.41121702,93.57,High quality
P21777,thermo,88.09197755,95.7,High quality
P23395,thermo,88.67939811,94.22,High quality
P26996,thermo,84.01656827,91.36,High quality
P27000,thermo,90.24881187,96.19,High quality
P29748,thermo,70.36625846,91.57,High quality
P29749,thermo,69.21440906,91.77,High quality
P33197,thermo,88.73616761,95.16,High quality
P35872,thermo,80.96031131,76.91,High quality
P43891,thermo,87.75736596,95.89,High quality
P43895,thermo,82.58763962,96.98,High quality
P48514,thermo,77.90210835,88.16,High quality
P48515,thermo,88.7002635,85.98,High quality
P52028,thermo,76.34522188,91.65,High quality
P54263,thermo,88.33809198,95.63,High quality
P56194,thermo,79.27566123,95.94,High quality
P56206,thermo,88.0923596,95.76,High quality
P56690,thermo,81.86488049,94.43,High quality
P56881,thermo,79.60752187,94.21,High quality
P59846,thermo,89.89387211,94.97,High quality
P60339,thermo,76.26396913,94.38,High quality
P60405,thermo,90.38552,95.15,High quality
P60488,thermo,82.36667629,92.94,High quality
P60491,thermo,90.22561226,94.33,High quality
P60492,thermo,90.46031108,93.66,High quality
P61497,thermo,86.67886758,96.25,High quality
P61503,thermo,83.76996739,97.84,High quality
P68082,thermo,67.14125749,96.82,High quality
P74903,thermo,88.39233345,87.57,High quality
P74941,thermo,85.91775369,90.78,High quality
P80339,thermo,69.27856996,89.19,High quality
P80371,thermo,88.9084073,89.83,High quality
P80372,thermo,89.03815106,88.28,High quality
P80373,thermo,88.1933281,92.45,High quality
P80374,thermo,88.86371191,94.14,High quality
P80376,thermo,85.53768394,91.64,High quality
P80377,thermo,87.90539497,90.4,High quality
P80380,thermo,88.57707148,87.98,High quality
P83700,thermo,73.44708364,94.96,High quality
P96077,thermo,67.24896282,88.67,High quality
Q53VT9,thermo,81.34129478,94.81,High quality
Q53VU3,thermo,72.2134369,88.5,High quality
Q53VU6,thermo,90.60229322,95.88,High quality
Q53VU9,thermo,89.17099104,80.31,High quality
Q53VV1,thermo,88.96048252,86.88,High quality
Q53VV2,thermo,84.60616983,84.75,High quality
Q53VV3,thermo,78.87128732,65.19,Low quality (pLDDT < 70)
Q53VV8,thermo,60.97879766,95.81,High quality
Q53VW3,thermo,89.74702413,85.44,High quality
Q53VX0,thermo,75.10158202,92.44,High quality
Q53VX2,thermo,88.99385478,92.44,High quality
Q53VX9,thermo,88.3123061,93.12,High quality
Q53VY0,thermo,89.53210576,95.21,High quality
Q53VY1,thermo,74.50882193,91.84,High quality
Q53VY2,thermo,77.0093985,86.54,High quality
Q53VY4,thermo,73.34715748,85.12,High quality
Q53VY8,thermo,80.75781168,87.44,High quality
Q53VZ2,thermo,83.06602372,92.19,High quality
Q53VZ4,thermo,65.0646111,91.88,High quality
Q53W04,thermo,89.43981237,83.94,High quality
Q53W07,thermo,85.62344557,88.19,High quality
Q53W08,thermo,63.38897961,91.81,High quality
Q53W09,thermo,78.73404808,90.19,High quality
Q53W17,thermo,87.70512738,91.92,High quality
Q53W19,thermo,77.2855153,91.52,High quality
Q53W22,thermo,86.11208842,92.81,High quality
Q53W23,thermo,80.05882876,93.81,High quality
Q53W25,thermo,85.51115281,94.5,High quality
Q53W34,thermo,71.74459057,94.06,High quality
Q53W35,thermo,74.92669577,70.81,High quality
Q53W36,thermo,72.07256139,88.94,High quality
Q53W40,thermo,82.02952699,83.38,High quality
Q53W41,thermo,66.60632461,84.94,High quality
Q53W42,thermo,62.54665098,83.38,High quality
Q53W50,thermo,83.19200726,95.19,High quality
Q53W57,thermo,76.41001853,94.12,High quality
Q53W59,thermo,76.91869506,96.31,High quality
Q53W62,thermo,76.14970972,91.94,High quality
Q53W64,thermo,89.57895292,93.75,High quality
Q53W68,thermo,80.76826339,96.56,High quality
Q53W72,thermo,77.28065697,89.06,High quality
Q53W80,thermo,63.99052029,95.81,High quality
Q53W81,thermo,65.74664469,91.88,High quality
Q53W89,thermo,83.60810833,90.06,High quality
Q53W93,thermo,64.74253094,97.62,High quality
Q53W94,thermo,83.60322112,94.38,High quality
Q53W96,thermo,65.64924596,85.19,High quality
Q53W97,thermo,85.41183762,93.94,High quality
Q53W99,thermo,85.78308719,92.12,High quality
Q53WA1,thermo,65.16707925,94.88,High quality
Q53WA2,thermo,90.71221804,92.62,High quality
Q53WA3,thermo,83.97403209,94.88,High quality
Q53WA4,thermo,71.05692294,83.81,High quality
Q53WA5,thermo,88.44076414,92.75,High quality
Q53WA6,thermo,72.49436848,91.88,High quality
Q53WA7,thermo,89.64427303,93.12,High quality
Q53WA8,thermo,90.4084986,92.62,High quality
Q53WA9,thermo,85.34411571,93.5,High quality
Q53WB0,thermo,87.42035689,94.62,High quality
Q53WB1,thermo,77.27607664,91.62,High quality
Q53WB3,thermo,83.91259978,95.69,High quality
Q53WB5,thermo,77.10885617,59.41,Low quality (pLDDT < 70)
Q53WB9,thermo,80.39552049,94.06,High quality
Q53WC5,thermo,79.29400898,89.44,High quality
Q53WD8,thermo,79.60736872,86.38,High quality
Q53WE0,thermo,79.43178079,96.94,High quality
Q53WE1,thermo,84.04722114,94.25,High quality
Q53WE2,thermo,75.95358742,94.25,High quality
Q53WF6,thermo,67.85945209,93.75,High quality
Q53WG0,thermo,84.19401131,84.75,High quality
Q53WG2,thermo,88.31287447,85.81,High quality
Q53WG7,thermo,86.17315849,90.12,High quality
Q53WG9,thermo,73.97375926,93.47,High quality
Q53WH2,thermo,85.6427772,93.56,High quality
Q53WH3,thermo,87.86658683,96.06,High quality
Q53WH4,thermo,80.90151974,97.62,High quality
Q53WH6,thermo,84.21453355,95.56,High quality
Q53WH7,thermo,79.84356125,96.75,High quality
Q53WH8,thermo,83.28552395,93.19,High quality
Q53WH9,thermo,78.39887502,96.06,High quality
Q53WI0,thermo,90.64455648,96.26,High quality
Q53WI2,thermo,87.93987493,96.75,High quality
Q53WI4,thermo,81.52214102,95.19,High quality
Q56213,thermo,85.6987361,94.58,High quality
Q56218,thermo,63.68232462,86.99,High quality
Q56219,thermo,90.06282086,83.79,High quality
Q56220,thermo,73.38206061,89.44,High quality
Q56221,thermo,71.61645512,92.03,High quality
Q56222,thermo,77.27628042,95.86,High quality
Q56223,thermo,88.02871681,92.81,High quality
Q56224,thermo,85.17799655,93.54,High quality
Q56232,thermo,86.50003801,96.34,High quality
Q56235,thermo,76.90653417,90.19,High quality
Q56236,thermo,82.71301739,91.45,High quality
Q56237,thermo,83.74453262,90.97,High quality
Q56242,thermo,85.70261764,89.11,High quality
Q56243,thermo,73.56036336,89.89,High quality
Q56403,thermo,82.99414224,93.09,High quality
Q56404,thermo,86.64778791,91.67,High quality
Q56416,thermo,78.43403249,91.67,High quality
Q56419,thermo,81.05875315,96.77,High quality
Q56425,thermo,75.47239253,86.73,High quality
Q5SGN0,thermo,84.39429903,46.47,Low quality (pLDDT < 70)
Q5SGV8,thermo,62.52895038,95.03,High quality
Q5SGW1,thermo,66.74957509,82.06,High quality
Q5SGW4,thermo,83.18745654,64.62,Low quality (pLDDT < 70)
Q5SGX1,thermo,79.93551773,93.28,High quality
Q5SGX2,thermo,73.1466431,92.85,High quality
Q5SGX4,thermo,89.51966854,96.75,High quality
Q5SGX5,thermo,88.71852328,95.5,High quality
Q5SGX7,thermo,66.60189173,90.62,High quality
Q5SGX8,thermo,71.01099759,80.19,High quality
Q5SGX9,thermo,84.44374459,91.25,High quality
Q5SGY3,thermo,64.62994771,92.12,High quality
Q5SGY4,thermo,70.94344707,88.44,High quality
Q5SGY7,thermo,87.8775624,89.75,High quality
Q5SGZ2,thermo,83.61418137,97.0,High quality
Q5SGZ3,thermo,71.24877981,92.83,High quality
Q5SGZ6,thermo,60.03982747,96.81,High quality
Q5SH03,thermo,63.42778788,88.96,High quality
Q5SH09,thermo,83.66188152,80.25,High quality
Q5SH10,thermo,85.32167076,93.06,High quality
Q5SH13,thermo,68.37379712,96.25,High quality
Q5SH14,thermo,76.72207664,97.5,High quality
Q5SH16,thermo,79.39860521,92.06,High quality
Q5SH18,thermo,87.93516829,96.56,High quality
Q5SH19,thermo,78.68500474,97.06,High quality
Q5SH20,thermo,80.74151404,96.38,High quality
Q5SH23,thermo,80.13807673,96.69,High quality
Q5SH24,thermo,69.62481437,93.0,High quality
Q5SH25,thermo,81.83406734,92.19,High quality
Q5SH26,thermo,69.64081191,98.0,High quality
Q5SH27,thermo,72.20652428,95.38,High quality
Q5SH28,thermo,77.68941945,94.94,High quality
Q5SH33,thermo,86.89526882,96.19,High quality
Q5SH39,thermo,76.33467717,70.31,High quality
Q5SH40,thermo,63.23690754,95.75,High quality
Q5SH42,thermo,85.39832844,91.25,High quality
Q5SH43,thermo,86.68170931,95.62,High quality
Q5SH49,thermo,75.60849084,96.12,High quality
Q5SH50,thermo,83.56116112,94.31,High quality
Q5SH51,thermo,65.20682392,96.5,High quality
Q5SH52,thermo,77.4458117,91.75,High quality
Q5SH53,thermo,88.72010606,92.44,High quality
Q5SH54,thermo,72.88651616,91.38,High quality
Q5SH56,thermo,68.32528794,82.12,High quality
Q5SH66,thermo,79.08310607,71.25,High quality
Q5SH68,thermo,79.98041,87.5,High quality
Q5SH69,thermo,71.93756476,96.38,High quality
Q5SH71,thermo,76.21794613,93.69,High quality
Q5SH76,thermo,71.20235029,90.62,High quality
Q5SH77,thermo,78.17391291,92.62,High quality
Q5SH78,thermo,65.18147932,95.5,High quality
Q5SH83,thermo,73.91964017,66.44,Low quality (pLDDT < 70)
Q5SH88,thermo,82.62582791,96.3,High quality
Q5SH90,thermo,83.27687797,95.5,High quality
Q5SH91,thermo,77.38017387,83.06,High quality
Q5SH92,thermo,85.09042304,93.81,High quality
Q5SH98,thermo,77.45133324,93.5,High quality
Q5SHA1,thermo,66.07274447,86.69,High quality
Q5SHA5,thermo,63.95784282,86.69,High quality
Q5SHA6,thermo,79.30148185,95.81,High quality
Q5SHA7,thermo,88.38245427,95.62,High quality
Q5SHA9,thermo,83.12909055,94.75,High quality
Q5SHB1,thermo,81.07963678,92.67,High quality
Q5SHB2,thermo,67.71506992,91.55,High quality
Q5SHB3,thermo,79.20082414,82.92,High quality
Q5SHB4,thermo,63.60353893,92.0,High quality
Q5SHB6,thermo,78.74419274,84.0,High quality
Q5SHB9,thermo,73.46755974,93.62,High quality
Q5SHC1,thermo,83.31854462,94.88,High quality
Q5SHC7,thermo,84.93282634,96.0,High quality
Q5SHD1,thermo,73.41615469,94.94,High quality
Q5SHD3,thermo,90.34273456,97.88,High quality
Q5SHD4,thermo,65.05879723,91.86,High quality
Q5SHD6,thermo,87.59126959,96.88,High quality
Q5SHD9,thermo,79.13945239,97.56,High quality
Q5SHE2,thermo,83.17597287,88.31,High quality
Q5SHE5,thermo,66.42192913,96.19,High quality
Q5SHE9,thermo,70.02753677,87.15,High quality
Q5SHF1,thermo,76.97500999,97.38,High quality
Q5SHF3,thermo,89.65956715,92.75,High quality
Q5SHF5,thermo,86.15839639,98.29,High quality
Q5SHF6,thermo,70.35834093,93.5,High quality
Q5SHF7,thermo,87.39683704,92.94,High quality
Q5SHF9,thermo,74.60697143,95.19,High quality
Q5SHG1,thermo,89.40572636,90.0,High quality
Q5SHG2,thermo,72.88147781,92.59,High quality
Q5SHG3,thermo,85.42765246,96.82,High quality
Q5SHG4,thermo,83.67928221,90.12,High quality
Q5SHH3,thermo,76.21035858,96.5,High quality
Q5SHH5,thermo,60.08483083,97.78,High quality
Q5SHH9,thermo,90.26863556,96.19,High quality
Q5SHI0,thermo,83.39279906,94.88,High quality
Q5SHI2,thermo,67.88444384,63.5,Low quality (pLDDT < 70)
Q5SHI4,thermo,63.77662924,95.71,High quality
Q5SHI7,thermo,82.13536723,95.56,High quality
Q5SHI8,thermo,86.58918353,96.5,High quality
Q5SHJ1,thermo,83.14016188,93.56,High quality
Q5SHJ3,thermo,84.65254377,92.0,High quality
Q5SHJ4,thermo,70.8470155,96.12,High quality
Q5SHJ5,thermo,81.63875806,97.0,High quality
Q5SHJ6,thermo,73.16820092,77.88,High quality
Q5SHJ8,thermo,83.66356196,95.81,High quality
Q5SHJ9,thermo,78.56199982,81.44,High quality
Q5SHK1,thermo,85.29048502,93.12,High quality
Q5SHK8,thermo,82.62993495,85.25,High quality
Q5SHL1,thermo,79.07721019,92.81,High quality
Q5SHL2,thermo,64.70495228,91.19,High quality
Q5SHL3,thermo,68.59110149,82.25,High quality
Q5SHL4,thermo,83.10094945,80.88,High quality
Q5SHL6,thermo,86.6214891,97.88,High quality
Q5SHL9,thermo,81.76252785,93.69,High quality
Q5SHM1,thermo,79.81678193,92.25,High quality
Q5SHM6,thermo,85.35741875,88.44,High quality
Q5SHM8,thermo,68.10523821,90.25,High quality
Q5SHN0,thermo,75.51629223,93.56,High quality
Q5SHN1,thermo,81.67712858,96.0,High quality
Q5SHN2,thermo,88.7067596,97.12,High quality
Q5SHN3,thermo,86.07975318,93.61,High quality
Q5SHN5,thermo,88.52004992,87.3,High quality
Q5SHN6,thermo,80.74996914,94.51,High quality
Q5SHN7,thermo,88.48118709,87.97,High quality
Q5SHN8,thermo,87.82542449,95.13,High quality
Q5SHN9,thermo,87.33628704,92.61,High quality
Q5SHP2,thermo,89.08391969,87.95,High quality
Q5SHP3,thermo,88.97845733,95.18,High quality
Q5SHP8,thermo,90.29847561,96.45,High quality
Q5SHP9,thermo,64.17148866,88.94,High quality
Q5SHQ0,thermo,90.87565035,92.51,High quality
Q5SHQ5,thermo,88.40802489,92.56,High quality
Q5SHQ7,thermo,90.99087704,85.47,High quality
Q5SHQ8,thermo,68.1751821,87.62,High quality
Q5SHQ9,thermo,83.01554147,94.52,High quality
Q5SHR0,thermo,84.16103695,96.81,High quality
Q5SHR1,thermo,85.78491863,85.54,High quality
Q5SHR6,thermo,68.95568386,86.93,High quality
Q5SHS0,thermo,68.20293009,92.31,High quality
Q5SHS1,thermo,78.52455958,94.31,High quality
Q5SHS3,thermo,88.33739646,93.49,High quality
Q5SHS5,thermo,79.41452208,89.81,High quality
Q5SHS6,thermo,82.14533144,95.02,High quality
Q5SHT3,thermo,88.12508854,95.69,High quality
Q5SHT4,thermo,88.13206002,66.06,Low quality (pLDDT < 70)
Q5SHT7,thermo,72.84514088,96.82,High quality
Q5SHT8,thermo,82.87141478,97.05,High quality
Q5SHU0,thermo,80.63037598,94.5,High quality
Q5SHU1,thermo,89.6226849,80.12,High quality
Q5SHU3,thermo,79.63901129,94.5,High quality
Q5SHU6,thermo,80.93400949,92.0,High quality
Q5SHU9,thermo,62.61022453,97.08,High quality
Q5SHV0,thermo,69.40410186,92.56,High quality
Q5SHV5,thermo,71.4764114,97.25,High quality
Q5SHV6,thermo,66.24302958,94.19,High quality
Q5SHV8,thermo,72.46434013,96.94,High quality
Q5SHV9,thermo,83.60508965,76.62,High quality
Q5SHW0,thermo,78.93452434,96.68,High quality
Q5SHW1,thermo,74.13412549,95.95,High quality
Q5SHW2,thermo,61.51627539,91.44,High quality
Q5SHW3,thermo,63.66377727,97.0,High quality
Q5SHW6,thermo,76.88268914,94.56,High quality
Q5SHW7,thermo,75.80738674,95.0,High quality
Q5SHW9,thermo,84.34724074,91.81,High quality
Q5SHX3,thermo,67.50840726,95.06,High quality
Q5SHX5,thermo,87.67149478,94.31,High quality
Q5SHX6,thermo,82.81916761,88.69,High quality
Q5SHX8,thermo,85.88764824,94.19,High quality
Q5SHY0,thermo,82.75650729,95.4,High quality
Q5SHY1,thermo,69.22848154,93.85,High quality
Q5SHY2,thermo,88.63268148,96.31,High quality
Q5SHY4,thermo,72.5078531,83.62,High quality
Q5SHY5,thermo,86.84836962,92.81,High quality
Q5SHY7,thermo,82.1361979,91.88,High quality
Q5SHY9,thermo,63.48506382,77.44,High quality
Q5SHZ1,thermo,88.92436209,85.44,High quality
Q5SHZ4,thermo,79.72950102,88.46,High quality
Q5SHZ8,thermo,88.79913373,97.01,High quality
Q5SI00,thermo,70.18311166,87.25,High quality
Q5SI01,thermo,77.79933582,92.88,High quality
Q5SI02,thermo,88.90643063,97.56,High quality
Q5SI03,thermo,86.87736068,95.06,High quality
Q5SI04,thermo,84.20624008,97.06,High quality
Q5SI05,thermo,72.68686771,93.31,High quality
Q5SI10,thermo,89.27948878,96.06,High quality
Q5SI11,thermo,76.07139642,83.0,High quality
Q5SI12,thermo,86.98735869,97.01,High quality
Q5SI13,thermo,84.64729176,87.12,High quality
Q5SI14,thermo,83.24580247,94.45,High quality
Q5SI17,thermo,65.1862168,96.25,High quality
Q5SI20,thermo,90.5387215,92.88,High quality
Q5SI21,thermo,61.90991487,90.99,High quality
Q5SI23,thermo,87.92817045,95.31,High quality
Q5SI26,thermo,73.78381591,97.36,High quality
Q5SI27,thermo,84.63590135,92.12,High quality
Q5SI28,thermo,84.40570668,91.67,High quality
Q5SI29,thermo,78.17835924,96.37,High quality
Q5SI30,thermo,88.6944394,96.44,High quality
Q5SI31,thermo,83.05223706,94.69,High quality
Q5SI34,thermo,87.25900492,94.94,High quality
Q5SI36,thermo,80.86502922,90.25,High quality
Q5SI38,thermo,89.85360493,93.18,High quality
Q5SI46,thermo,85.22944401,94.25,High quality
Q5SI47,thermo,87.04396258,93.81,High quality
Q5SI48,thermo,88.4020078,95.12,High quality
Q5SI49,thermo,70.21618513,91.6,High quality
Q5SI50,thermo,71.68639003,95.69,High quality
Q5SI54,thermo,75.89533054,95.44,High quality
Q5SI55,thermo,83.93687669,89.75,High quality
Q5SI56,thermo,85.08606402,97.8,High quality
Q5SI57,thermo,66.96370142,96.16,High quality
Q5SI58,thermo,80.90928561,97.38,High quality
Q5SI59,thermo,82.15178011,96.88,High quality
Q5SI60,thermo,85.36329001,95.69,High quality
Q5SI61,thermo,89.03071996,96.75,High quality
Q5SI65,thermo,84.14902301,96.88,High quality
Q5SI67,thermo,78.79984552,96.06,High quality
Q5SI68,thermo,76.87998292,89.42,High quality
Q5SI72,thermo,81.85572706,84.94,High quality
Q5SI74,thermo,72.92566361,87.69,High quality
Q5SI75,thermo,71.04356655,94.69,High quality
Q5SI76,thermo,75.14757588,93.06,High quality
Q5SI77,thermo,82.02743292,87.0,High quality
Q5SI78,thermo,77.4901734,94.44,High quality
Q5SI81,thermo,72.84240034,94.88,High quality
Q5SI82,thermo,67.69638207,81.85,High quality
Q5SI88,thermo,86.49524403,86.44,High quality
Q5SI89,thermo,70.89029516,86.38,High quality
Q5SI90,thermo,72.50653372,84.06,High quality
Q5SI94,thermo,82.63539274,82.0,High quality
Q5SIA4,thermo,63.37170961,87.19,High quality
Q5SIA7,thermo,62.0436967,88.38,High quality
Q5SIA8,thermo,78.69601011,93.47,High quality
Q5SIB1,thermo,83.56981087,91.0,High quality
Q5SIB2,thermo,87.65684536,95.88,High quality
Q5SIB5,thermo,74.56878253,92.69,High quality
Q5SIB7,thermo,81.31682133,88.06,High quality
Q5SIC0,thermo,78.30344341,96.62,High quality
Q5SIC1,thermo,89.02193109,96.75,High quality
Q5SIC2,thermo,87.09521002,94.44,High quality
Q5SIC4,thermo,64.81646877,91.31,High quality
Q5SIC5,thermo,69.77158117,97.62,High quality
Q5SIC6,thermo,84.49171066,95.69,High quality
Q5SIC7,thermo,63.11324823,94.06,High quality
Q5SIC8,thermo,88.22305422,95.69,High quality
Q5SIC9,thermo,67.37039426,93.12,High quality
Q5SID2,thermo,78.75968308,91.18,High quality
Q5SID7,thermo,83.42087484,93.22,High quality
Q5SIE1,thermo,68.19958984,89.94,High quality
Q5SIE6,thermo,75.17813,96.56,High quality
Q5SIE7,thermo,75.51923499,88.81,High quality
Q5SIE9,thermo,78.77069857,95.19,High quality
Q5SIF6,thermo,64.47121662,91.56,High quality
Q5SIF7,thermo,60.87371745,92.62,High quality
Q5SIF8,thermo,65.9973769,91.38,High quality
Q5SIG5,thermo,88.8980265,91.69,High quality
Q5SIH0,thermo,79.89521795,92.6,High quality
Q5SIH4,thermo,88.62884801,93.69,High quality
Q5SIH5,thermo,88.44132027,96.74,High quality
Q5SIH7,thermo,84.31813747,91.63,High quality
Q5SIH8,thermo,70.2615823,83.06,High quality
Q5SIH9,thermo,74.88895411,92.25,High quality
Q5SII3,thermo,70.35389131,94.19,High quality
Q5SII4,thermo,75.50421314,93.36,High quality
Q5SII5,thermo,77.78956255,96.46,High quality
Q5SII6,thermo,72.38041202,72.44,High quality
Q5SII8,thermo,78.78786262,61.72,Low quality (pLDDT < 70)
Q5SIJ1,thermo,89.59547163,97.07,High quality
Q5SIJ6,thermo,62.67080194,94.81,High quality
Q5SIJ7,thermo,61.39247381,88.69,High quality
Q5SIK2,thermo,77.16713475,89.56,High quality
Q5SIK3,thermo,66.23018588,93.5,High quality
Q5SIK6,thermo,75.67068013,83.75,High quality
Q5SIK7,thermo,75.28210919,84.38,High quality
Q5SIL0,thermo,77.86596868,93.47,High quality
Q5SIL2,thermo,69.77265535,92.75,High quality
Q5SIL4,thermo,82.16915584,92.01,High quality
Q5SIL6,thermo,75.42598755,95.56,High quality
Q5SIL7,thermo,77.71047671,84.44,High quality
Q5SIL8,thermo,79.80094334,96.75,High quality
Q5SIM2,thermo,85.45715112,96.27,High quality
Q5SIM3,thermo,85.30801003,94.12,High quality
Q5SIM4,thermo,85.00039618,96.25,High quality
Q5SIM5,thermo,66.48460417,95.12,High quality
Q5SIM6,thermo,87.56564746,95.25,High quality
Q5SIM8,thermo,87.46814178,91.31,High quality
Q5SIM9,thermo,82.96455328,94.31,High quality
Q5SIN3,thermo,82.08938749,93.56,High quality
Q5SIN4,thermo,60.96637147,95.19,High quality
Q5SIN9,thermo,80.56699493,94.5,High quality
Q5SIP0,thermo,88.49050164,95.25,High quality
Q5SIP1,thermo,77.25581418,90.62,High quality
Q5SIP2,thermo,63.11890074,95.38,High quality
Q5SIP4,thermo,86.44511595,94.81,High quality
Q5SIP7,thermo,88.47204529,96.24,High quality
Q5SIP8,thermo,84.19825087,95.5,High quality
Q5SIQ5,thermo,84.90571721,93.94,High quality
Q5SIQ7,thermo,71.84077121,96.5,High quality
Q5SIQ8,thermo,81.8626689,91.62,High quality
Q5SIR3,thermo,70.28076131,94.5,High quality
Q5SIR4,thermo,82.1909107,94.06,High quality
Q5SIR7,thermo,75.21094769,81.25,High quality
Q5SIR8,thermo,86.4683875,89.56,High quality
Q5SIS0,thermo,82.64925829,74.12,High quality
Q5SIS2,thermo,87.78499139,92.0,High quality
Q5SIS5,thermo,72.50122927,87.88,High quality
Q5SIS6,thermo,75.82379163,81.5,High quality
Q5SIS7,thermo,81.28387074,88.75,High quality
Q5SIS9,thermo,74.66109354,92.06,High quality
Q5SIT1,thermo,85.17553276,98.34,High quality
Q5SIT2,thermo,77.190219,80.0,High quality
Q5SIU7,thermo,87.75698155,90.62,High quality
Q5SIU8,thermo,72.57379511,80.38,High quality
Q5SIV0,thermo,74.94636662,96.38,High quality
Q5SIV2,thermo,63.31626078,97.06,High quality
Q5SIV7,thermo,87.08418302,89.88,High quality
Q5SIW2,thermo,87.0439645,96.23,High quality
